id,title,year,source,relevance,outcome_tags,effect_estimate_detected,doi,url,priority_score,queue
13,Impact of Vaccines Across the Lifespan: A New Perspective in Public Health-Conclusions of an Expert Panel-Part 1.,2026,europe_pmc,low,unspecified,unknown,10.3390/vaccines14020183,https://doi.org/10.3390/vaccines14020183,10,later
16,Environmental lead risk in the 21st century.,2025,europe_pmc,low,unspecified,unknown,10.1038/s43247-025-02735-x,https://doi.org/10.1038/s43247-025-02735-x,10,later
18,Beyond Calories: Addressing Micronutrient Deficiencies in the World's Most Vulnerable Communities-A Review.,2025,europe_pmc,low,unspecified,unknown,10.3390/nu17243960,https://doi.org/10.3390/nu17243960,10,later
19,"Climate, Health, and Urban Green Infrastructure: The Evidence Base and Implications for Urban Policy and Spatial Planning.",2025,europe_pmc,low,unspecified,unknown,10.3390/ijerph22121842,https://doi.org/10.3390/ijerph22121842,10,later
20,"Global age-sex-specific all-cause mortality and life expectancy estimates for 204 countries and territories and 660 subnational locations, 1950-2023: a demographic analysis for the Global Burden of Disease Study 2023.",2025,ncbi_pubmed,low,mortality,unknown,10.1016/s0140-6736(25)01330-3,https://doi.org/10.1016/s0140-6736(25)01330-3,10,later
21,"Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023.",2025,ncbi_pubmed,low,unspecified,unknown,10.1016/s0140-6736(25)01637-x,https://doi.org/10.1016/s0140-6736(25)01637-x,10,later
22,"Chronic Kidney Disease: Epidemiology, diagnosis, management and prevention strategies",2025,zenodo,low,cardiovascular;kidney;hypertension,unknown,10.5281/zenodo.15163152,https://doi.org/10.5281/zenodo.15163152,10,later
23,,2024,crossref,low,unspecified,unknown,10.58275/aha.24pre1022654.pc.gr.190680,https://doi.org/10.58275/aha.24pre1022654.pc.gr.190680,10,later
25,Incidence of Acute Kidney Injury in Patients with Acute Myocardial Infarction,2023,zenodo,low,kidney;mortality,unknown,10.5281/zenodo.11248321,https://doi.org/10.5281/zenodo.11248321,10,later
28,Boundary-Aware Network for Kidney Parsing,2022,arxiv,low,kidney,unknown,,http://arxiv.org/abs/2208.13338v1,10,later
29,Leveraging Clinical Characteristics for Improved Deep Learning-Based Kidney Tumor Segmentation on CT,2021,arxiv,low,kidney,unknown,,http://arxiv.org/abs/2109.05816v1,10,later
31,Is It Safe Living in the Vicinity of Cellular Towers? Analysis of Long-Term Human EMF Exposure at Population Scale,2020,arxiv,low,unspecified,unknown,,http://arxiv.org/abs/2002.00910v2,10,later
35,3D Kidneys and Kidney Tumor Semantic Segmentation using Boundary-Aware Networks,2019,arxiv,low,iq;kidney,unknown,,http://arxiv.org/abs/1909.06684v1,10,later
36,End-to-End Cascaded U-Nets with a Localization Network for Kidney Tumor Segmentation,2019,arxiv,low,kidney,unknown,,http://arxiv.org/abs/1910.07521v1,10,later
37,"Inequality, mobility and the financial accumulation process: A computational economic analysis",2019,arxiv,low,unspecified,unknown,,http://arxiv.org/abs/1901.03951v1,10,later
38,Long-term outcomes,2018,crossref,low,unspecified,unknown,10.1093/med/9780198784906.003.0178_update_001,https://doi.org/10.1093/med/9780198784906.003.0178_update_001,10,later
40,Cognition and Emotion: Perspectives of a Closing Gap,2010,arxiv,low,cognitive,unknown,,http://arxiv.org/abs/1002.3035v1,10,later
